cantidad_diagonal,cantidad_probabilidad_diagonal,hue_min_diagonal,hue_max_diagonal,hue_probabilidad_diagonal,saturation_min_diagonal,saturation_max_diagonal,saturation_probabilidad_diagonal,brightness_min_diagonal,brightness_max_diagonal,brightness_probabilidad_diagonal,cantidad_espiral,cantidad_probabilidad_espiral,hue_min_espiral,hue_max_espiral,hue_probabilidad_espiral,saturation_min_espiral,saturation_max_espiral,saturation_probabilidad_espiral,brightness_min_espiral,brightness_max_espiral,brightness_probabilidad_espiral,cantidad_simetria,cantidad_probabilidad_simetria,hue_min_simetria,hue_max_simetria,hue_probabilidad_simetria,saturation_min_simetria,saturation_max_simetria,saturation_probabilidad_simetria,brightness_min_simetria,brightness_max_simetria,brightness_probabilidad_simetria,cantidad_tercios,cantidad_probabilidad_tercios,hue_min_tercios,hue_max_tercios,hue_probabilidad_tercios,saturation_min_tercios,saturation_max_tercios,saturation_probabilidad_tercios,brightness_min_tercios,brightness_max_tercios,brightness_probabilidad_tercios
2,0.04,0,10,0.04,0,10,0.02173913,0,10,0.0625,2,0.04,0,10,0.04,0,10,0.063829787,0,10,0.066666667,2,0.04,0,10,0.04,0,10,0,0,10,0.041666667,2,0.06,0,10,0.04,0,10,0,0,10,0.0625
3,0.02,10,20,0.06,10,20,0.173913043,10,20,0.229166667,3,0.04,10,20,0.02,10,20,0.127659574,10,20,0.266666667,3,0.04,10,20,0.02,10,20,0.217391304,10,20,0.1875,3,0.04,10,20,0.06,10,20,0.227272727,10,20,0.208333333
4,0.06,20,30,0.1,20,30,0.282608696,20,30,0.458333333,4,0.08,20,30,0.02,20,30,0.340425532,20,30,0.288888889,4,0.04,20,30,0.02,20,30,0.304347826,20,30,0.416666667,4,0.08,20,30,0,20,30,0.363636364,20,30,0.375
5,0.08,30,40,0,30,40,0.391304348,30,40,0.166666667,5,0.06,30,40,0,30,40,0.191489362,30,40,0.244444444,5,0.12,30,40,0.02,30,40,0.217391304,30,40,0.145833333,5,0.16,30,40,0.02,30,40,0.25,30,40,0.270833333
6,0.8,40,50,0.06,40,50,0.065217391,40,50,0.041666667,6,0.78,40,50,0.06,40,50,0.170212766,40,50,0.088888889,6,0.76,40,50,0.02,40,50,0.086956522,40,50,0.166666667,6,0.66,40,50,0.04,40,50,0.159090909,40,50,0.0625
,,50,60,0,50,60,0.043478261,50,60,0.020833333,,,50,60,0.06,50,60,0.063829787,50,60,0.044444444,,,50,60,0.08,50,60,0.086956522,50,60,0.020833333,,,50,60,0.06,50,60,0,50,60,0.020833333
,,60,70,0.08,60,70,0.02173913,60,70,0.020833333,,,60,70,0.04,60,70,0.042553191,60,70,0,,,60,70,0.04,60,70,0.065217391,60,70,0.020833333,,,60,70,0.04,60,70,0,60,70,0
,,70,80,0.04,70,80,0,70,80,0,,,70,80,0.06,70,80,0,70,80,0,,,70,80,0.06,70,80,0,70,80,0,,,70,80,0.06,70,80,0,70,80,0
,,80,90,0.08,80,90,0,80,90,0,,,80,90,0.06,80,90,0,80,90,0,,,80,90,0.08,80,90,0.02173913,80,90,0,,,80,90,0.04,80,90,0,80,90,0
,,90,100,0.04,90,100,0,90,100,0,,,90,100,0.06,90,100,0,90,100,0,,,90,100,0.02,90,100,0,90,100,0,,,90,100,0.02,90,100,0,90,100,0
,,100,110,0.04,,,,,,,,,100,110,0.04,,,,,,,,,100,110,0.16,,,,,,,,,100,110,0.12,,,,,,
,,110,120,0.06,,,,,,,,,110,120,0.1,,,,,,,,,110,120,0.06,,,,,,,,,110,120,0.16,,,,,,
,,120,130,0,,,,,,,,,120,130,0.06,,,,,,,,,120,130,0,,,,,,,,,120,130,0.08,,,,,,
,,130,140,0.08,,,,,,,,,130,140,0.14,,,,,,,,,130,140,0.04,,,,,,,,,130,140,0.02,,,,,,
,,140,150,0.08,,,,,,,,,140,150,0.04,,,,,,,,,140,150,0.04,,,,,,,,,140,150,0.04,,,,,,
,,150,160,0.06,,,,,,,,,150,160,0.02,,,,,,,,,150,160,0.02,,,,,,,,,150,160,0.02,,,,,,
,,160,170,0.02,,,,,,,,,160,170,0.06,,,,,,,,,160,170,0.06,,,,,,,,,160,170,0,,,,,,
,,170,180,0.04,,,,,,,,,170,180,0.04,,,,,,,,,170,180,0.04,,,,,,,,,170,180,0.04,,,,,,
,,180,190,0.02,,,,,,,,,180,190,0.04,,,,,,,,,180,190,0.04,,,,,,,,,180,190,0.04,,,,,,
,,190,200,0,,,,,,,,,190,200,0.04,,,,,,,,,190,200,0.1,,,,,,,,,190,200,0.04,,,,,,
,,200,210,0.08,,,,,,,,,200,210,0,,,,,,,,,200,210,0,,,,,,,,,200,210,0,,,,,,
,,210,220,0,,,,,,,,,210,220,0,,,,,,,,,210,220,0.02,,,,,,,,,210,220,0,,,,,,
,,220,230,0,,,,,,,,,220,230,0,,,,,,,,,220,230,0,,,,,,,,,220,230,0.02,,,,,,
,,230,240,0,,,,,,,,,230,240,0,,,,,,,,,230,240,0,,,,,,,,,230,240,0.02,,,,,,
,,240,250,0,,,,,,,,,240,250,0,,,,,,,,,240,250,0.02,,,,,,,,,240,250,0,,,,,,
,,250,260,0,,,,,,,,,250,260,0,,,,,,,,,250,260,0,,,,,,,,,250,260,0,,,,,,
,,260,270,0.02,,,,,,,,,260,270,0,,,,,,,,,260,270,0,,,,,,,,,260,270,0,,,,,,
,,270,280,0,,,,,,,,,270,280,0,,,,,,,,,270,280,0,,,,,,,,,270,280,0,,,,,,
,,280,290,0,,,,,,,,,280,290,0,,,,,,,,,280,290,0,,,,,,,,,280,290,0,,,,,,
,,290,300,0,,,,,,,,,290,300,0,,,,,,,,,290,300,0,,,,,,,,,290,300,0.02,,,,,,
,,300,310,0,,,,,,,,,300,310,0,,,,,,,,,300,310,0,,,,,,,,,300,310,0,,,,,,
,,310,320,0,,,,,,,,,310,320,0,,,,,,,,,310,320,0,,,,,,,,,310,320,0,,,,,,
,,320,330,0,,,,,,,,,320,330,0,,,,,,,,,320,330,0,,,,,,,,,320,330,0,,,,,,
,,330,340,0,,,,,,,,,330,340,0,,,,,,,,,330,340,0,,,,,,,,,330,340,0,,,,,,
,,340,350,0,,,,,,,,,340,350,0,,,,,,,,,340,350,0,,,,,,,,,340,350,0,,,,,,
,,350,360,0,,,,,,,,,350,360,0,,,,,,,,,350,360,0,,,,,,,,,350,360,0,,,,,,
